type,part,expr
ode_pde,ode_depth_2,(2 - x)*sin(x)
ode_pde,ode_depth_2,0.125*x
ode_pde,ode_depth_2,-sin(x + 6)
ode_pde,ode_depth_2,log(-2*x)
ode_pde,ode_depth_2,-2*x - 4
ode_pde,ode_depth_2,-0.894*x
ode_pde,ode_depth_2,sin(2*x)
ode_pde,ode_depth_2,-sin(2*x)
ode_pde,ode_depth_2,exp(2 - x)
ode_pde,ode_depth_2,cos(x - 5)
ode_pde,ode_depth_2,log(x)
ode_pde,ode_depth_2,-sin(6/x)
ode_pde,ode_depth_2,-2*x + log(x)
ode_pde,ode_depth_2,-x - 7
ode_pde,ode_depth_2,(x + 7)/(x - 10)
ode_pde,ode_depth_2,1.89*x
ode_pde,ode_depth_2,2*x^3
ode_pde,ode_depth_2,-2*x + 5/x
ode_pde,ode_depth_2,log(exp(x))
ode_pde,ode_depth_2,-x^1.5
ode_pde,ode_depth_2,-x + 10/x
ode_pde,ode_depth_2,sin(5*x)
ode_pde,ode_depth_2,9 - 2*x
ode_pde,ode_depth_2,7 - x
ode_pde,ode_depth_2,1 - 5*x
ode_pde,ode_depth_2,exp(7*x)
ode_pde,ode_depth_2,exp(-x - 5)
ode_pde,ode_depth_2,2 - x^2
ode_pde,ode_depth_2,x*(x - 7)
ode_pde,ode_depth_2,-(x - 5)*(x - 1)
ode_pde,ode_depth_2,-0.125*x
ode_pde,ode_depth_2,2*x^2
ode_pde,ode_depth_2,4 - x
ode_pde,ode_depth_2,3/x^2
ode_pde,ode_depth_2,-x - 10
ode_pde,ode_depth_2,-9 - 90/x
ode_pde,ode_depth_2,-x*log(x)
ode_pde,ode_depth_2,x + 10
ode_pde,ode_depth_2,x^2
ode_pde,ode_depth_2,2*x + sin(x)
ode_pde,ode_depth_2,1 - x
ode_pde,ode_depth_2,0.333 - log(x)
ode_pde,ode_depth_2,exp(sqrt(x))
ode_pde,ode_depth_2,log(9 - x)
ode_pde,ode_depth_2,log(x) + 0.693
ode_pde,ode_depth_2,(x^3 - 3)/x
ode_pde,ode_depth_2,sin(10*x)
ode_pde,ode_depth_2,(x^3 - 9)/x
ode_pde,ode_depth_2,x*(-x - 2)
ode_pde,ode_depth_2,cos(2*x)
ode_pde,ode_depth_2,0.2*x + log(x)
ode_pde,ode_depth_2,sin(x) + 1
ode_pde,ode_depth_2,-16*x^2
ode_pde,ode_depth_2,exp(x) - 1
ode_pde,ode_depth_2,0.125*x*(x - 5)
ode_pde,ode_depth_2,log(x)/(x + 6)
ode_pde,ode_depth_2,cos(x/8)
ode_pde,ode_depth_2,-sin(x^2)
ode_pde,ode_depth_2,log(-x)
ode_pde,ode_depth_2,6*x + 9
ode_pde,ode_depth_2,-x/(x + 5)
ode_pde,ode_depth_2,-(x - 2)*(x - 1)
ode_pde,ode_depth_2,log(x^2)
ode_pde,ode_depth_2,log(2 - x)
ode_pde,ode_depth_2,2*x/sin(x)
ode_pde,ode_depth_2,30*x + 240
ode_pde,ode_depth_2,exp(4 - x)
ode_pde,ode_depth_2,2*x*cos(x)
ode_pde,ode_depth_2,sin(9/x)
ode_pde,ode_depth_2,-x - 29
ode_pde,ode_depth_2,x + 7
ode_pde,ode_depth_2,0.157/x
ode_pde,ode_depth_2,-9*x - 1
ode_pde,ode_depth_2,9/x
ode_pde,ode_depth_2,7*x - 1
ode_pde,ode_depth_2,-2/(x - 3)
ode_pde,ode_depth_2,cos(4*x)
ode_pde,ode_depth_2,(x + 3)*log(x)
ode_pde,ode_depth_2,x*(-x - 5)
ode_pde,ode_depth_2,7 - 8*x
ode_pde,ode_depth_2,-2*x - 7
ode_pde,ode_depth_2,0.333*x*(1 - x)
ode_pde,ode_depth_2,x - 2/x
ode_pde,ode_depth_2,sin(x) - 1
ode_pde,ode_depth_2,10*x
ode_pde,ode_depth_2,x*(x - 1)
ode_pde,ode_depth_2,(x + 1)*(x + 3)
ode_pde,ode_depth_2,exp(5*x)
ode_pde,ode_depth_2,exp(x)*log(x)
ode_pde,ode_depth_2,log(x + 9)
ode_pde,ode_depth_2,log(x) - 81
ode_pde,ode_depth_2,7 - sin(x)
ode_pde,ode_depth_2,-1.73 + 6/x
ode_pde,ode_depth_2,log(x + 5)
ode_pde,ode_depth_2,1 - 2*x
ode_pde,ode_depth_2,5/(x - 10)
ode_pde,ode_depth_2,-x^2 + cos(x)
ode_pde,ode_depth_2,x^2*exp(-x)
ode_pde,ode_depth_2,x + 6
ode_pde,ode_depth_2,sin(cos(x))
ode_pde,ode_depth_2,0.5*log(x)
ode_pde,ode_depth_2,x + 3
ode_pde,ode_depth_2,sin(x) - 5
ode_pde,ode_depth_2,-5 + 5/x
ode_pde,ode_depth_2,sin(x) - 1.41
ode_pde,ode_depth_2,x*(-x - 8)
ode_pde,ode_depth_2,(10 - x)/x
ode_pde,ode_depth_2,14/x^2
ode_pde,ode_depth_2,log(x)*sin(x)
ode_pde,ode_depth_2,-0.143*x^3
ode_pde,ode_depth_2,1.14*x - 5.71
ode_pde,ode_depth_2,x + 5
ode_pde,ode_depth_2,sin(x + 2)
ode_pde,ode_depth_2,0.1*x
ode_pde,ode_depth_2,-sin(x/10)
ode_pde,ode_depth_2,x^(-2)
ode_pde,ode_depth_2,exp(x)/x
ode_pde,ode_depth_2,-2*x
ode_pde,ode_depth_2,2*x - 5
ode_pde,ode_depth_2,0.111*x
ode_pde,ode_depth_2,-x + exp(x) + 2
ode_pde,ode_depth_2,-x^2 + sin(x)
ode_pde,ode_depth_2,-4*x - 9
ode_pde,ode_depth_2,sin(6*x)
ode_pde,ode_depth_2,5*x*(x + 2)
ode_pde,ode_depth_2,x - 3
ode_pde,ode_depth_2,exp(x/4)
ode_pde,ode_depth_2,6*x
ode_pde,ode_depth_2,3*x - 8
ode_pde,ode_depth_2,-80/x^2
ode_pde,ode_depth_2,sin(x + 6)
ode_pde,ode_depth_2,x^2 + x - 1
ode_pde,ode_depth_2,2 - 0.125*x
ode_pde,ode_depth_2,x*cos(x)
ode_pde,ode_depth_2,-0.156*x
ode_pde,ode_depth_2,-6*x*(x + 4)
ode_pde,ode_depth_2,cos(10*x)
ode_pde,ode_depth_2,x^2 + log(x)
ode_pde,ode_depth_2,-2*x^2
ode_pde,ode_depth_2,1 - x^2
ode_pde,ode_depth_2,-0.408*x^2
ode_pde,ode_depth_2,x*(2 - x)
ode_pde,ode_depth_2,0.167*x - 1
ode_pde,ode_depth_2,-0.031*x
ode_pde,ode_depth_2,-18*x
ode_pde,ode_depth_2,-5*x^2
ode_pde,ode_depth_2,sin(x + 10)
ode_pde,ode_depth_2,exp(4*x)
ode_pde,ode_depth_2,-x + exp(x) - 4
ode_pde,ode_depth_2,x*(3 - x)
ode_pde,ode_depth_2,exp(x)
ode_pde,ode_depth_2,log(x + 2)
ode_pde,ode_depth_2,2*x + 1.75
ode_pde,ode_depth_2,10 - 8*x
ode_pde,ode_depth_2,-x - 4
ode_pde,ode_depth_2,54 - 8*x
ode_pde,ode_depth_2,x*(x - 0.333)
ode_pde,ode_depth_2,sin(x/5)
ode_pde,ode_depth_2,6 - 10*x
ode_pde,ode_depth_2,-sin(x - 10)
ode_pde,ode_depth_2,1/log(x)
ode_pde,ode_depth_2,cos(6*x)
ode_pde,ode_depth_2,(6 - x)*exp(x)
ode_pde,ode_depth_2,15*exp(x)
ode_pde,ode_depth_2,log(-x^2)
ode_pde,ode_depth_2,log(8/x)
ode_pde,ode_depth_2,cos(x) + 1
ode_pde,ode_depth_2,x + 4
ode_pde,ode_depth_2,20*x
ode_pde,ode_depth_2,log(-4*x)
ode_pde,ode_depth_2,log(sin(x))
ode_pde,ode_depth_2,1.11*x + 7
ode_pde,ode_depth_2,-x - 1
ode_pde,ode_depth_2,x^2 + cos(x)
ode_pde,ode_depth_2,x^2*(-x - 4)
ode_pde,ode_depth_2,-0.1*x
ode_pde,ode_depth_2,cos(x) - 5/x
ode_pde,ode_depth_2,(4 - x)*exp(x)
ode_pde,ode_depth_2,1.17*x - 1
ode_pde,ode_depth_2,3*x + 7
ode_pde,ode_depth_2,(-x - 1)/(x - 4)
ode_pde,ode_depth_2,x^2/sin(x)
ode_pde,ode_depth_2,log(x + 8)
ode_pde,ode_depth_2,-x*(x + 3)
ode_pde,ode_depth_2,-0.25/x
ode_pde,ode_depth_2,5*x
ode_pde,ode_depth_2,-1/x
ode_pde,ode_depth_2,-x - cos(x) + 5
ode_pde,ode_depth_2,7*x^2
ode_pde,ode_depth_2,-x + exp(x) + 4
ode_pde,ode_depth_2,2*x*(x - 1)
ode_pde,ode_depth_2,(x - 8)/x
ode_pde,ode_depth_2,-x - log(x)
ode_pde,ode_depth_2,-x + cos(x) - 1
ode_pde,ode_depth_2,3 - x
ode_pde,ode_depth_2,-10*x^2
ode_pde,ode_depth_2,8 - x
ode_pde,ode_depth_2,2*x + 2.25
ode_pde,ode_depth_2,-0.333*x - 20
ode_pde,ode_depth_2,x^0.25
ode_pde,ode_depth_2,-2*x*(x + 9)
ode_pde,ode_depth_2,-9*x
ode_pde,ode_depth_2,-1.25*x
ode_pde,ode_depth_2,1/sqrt(x) + sin(x)
ode_pde,ode_depth_2,x + 2
ode_pde,ode_depth_2,1.14*x
ode_pde,ode_depth_2,-2*x - 1
ode_pde,ode_depth_2,x^2 - x + 10
ode_pde,ode_depth_2,8*x - 1
ode_pde,ode_depth_2,10*exp(-x)
ode_pde,ode_depth_2,x^2 - 1
ode_pde,ode_depth_2,-4/x
ode_pde,ode_depth_2,2.65 - 9*x
ode_pde,ode_depth_2,-0.1*x + exp(x)
ode_pde,ode_depth_2,log(5/x)
ode_pde,ode_depth_2,0.408*x + 2.45
ode_pde,ode_depth_2,x^2 + 2
ode_pde,ode_depth_2,-1/(x - 4)
ode_pde,ode_depth_2,log(-3*x)
ode_pde,ode_depth_2,-x - log(x) + 7
ode_pde,ode_depth_2,exp(x + 10)
ode_pde,ode_depth_2,-0.1*x - 1
ode_pde,ode_depth_2,sin(3*x)
ode_pde,ode_depth_2,-x^2 + exp(x)
ode_pde,ode_depth_2,1.5*x
ode_pde,ode_depth_2,exp(x + 9)
ode_pde,ode_depth_2,0.024*x^2
ode_pde,ode_depth_2,cos(1/x)
ode_pde,ode_depth_2,-2*x*(x + 6)
ode_pde,ode_depth_2,-log(x)/x^2
ode_pde,ode_depth_2,0.632/x
ode_pde,ode_depth_2,-2*x*(x + 1)
ode_pde,ode_depth_2,x^2 + x + 2
ode_pde,ode_depth_2,8*x^2
ode_pde,ode_depth_2,x^2*(-x - 2)
ode_pde,ode_depth_2,-0.5*x
ode_pde,ode_depth_2,x^2 + 80
ode_pde,ode_depth_2,-x + exp(x)
ode_pde,ode_depth_2,exp(exp(x))
ode_pde,ode_depth_2,-2*x - 3
ode_pde,ode_depth_2,cos(3*x)
ode_pde,ode_depth_2,0.111*x + 13
ode_pde,ode_depth_2,-x^2 - x + 7
ode_pde,ode_depth_2,sin(x/2)
ode_pde,ode_depth_2,-0.5/x
ode_pde,ode_depth_2,-x*(x + 1)
ode_pde,ode_depth_2,log(x + 6)
ode_pde,ode_depth_2,-sin(x - 8)
ode_pde,ode_depth_2,exp(-9*x)
ode_pde,ode_depth_2,0.447*x^2
ode_pde,ode_depth_2,9 - x
ode_pde,ode_depth_2,0.667 - 2*x
ode_pde,ode_depth_2,(-x - 4)/(x + 10)
ode_pde,ode_depth_2,0.5*log(x)/x
ode_pde,ode_depth_2,x - 6
ode_pde,ode_depth_2,-x^2 - x + 4
ode_pde,ode_depth_2,exp(3 - x)
ode_pde,ode_depth_2,-x - 10 - 4/x
ode_pde,ode_depth_2,(-x - 4)/x
ode_pde,ode_depth_2,x^2 - x + 8
ode_pde,ode_depth_2,40 - 10*x
ode_pde,ode_depth_2,40 - 5*x
ode_pde,ode_depth_2,2.83*x - 19.8
ode_pde,ode_depth_2,exp(x) + 4
ode_pde,ode_depth_2,-x + cos(x)
ode_pde,ode_depth_2,3.76 - x
ode_pde,ode_depth_2,-sin(1/x)
ode_pde,ode_depth_2,-7/x
ode_pde,ode_depth_2,30*x
ode_pde,ode_depth_2,2*x*log(x)
ode_pde,ode_depth_2,7.71*x
ode_pde,ode_depth_2,-8 - 56/x
ode_pde,ode_depth_2,5.66*x
ode_pde,ode_depth_2,4 - 3*x
ode_pde,ode_depth_2,-10/(x*cos(x))
ode_pde,ode_depth_2,exp(8 - x)
ode_pde,ode_depth_2,x*(x - 0.111)
ode_pde,ode_depth_2,(1 - x)*exp(x)
ode_pde,ode_depth_2,cos(8*x)
ode_pde,ode_depth_2,(x + 9)/sin(x)
ode_pde,ode_depth_2,exp(10 - x)
ode_pde,ode_depth_2,2*x*(x - 5)
ode_pde,ode_depth_2,x^2*cos(x)
ode_pde,ode_depth_2,-sin(x/4)
ode_pde,ode_depth_2,x^2 - 6
ode_pde,ode_depth_2,-x + log(x)
ode_pde,ode_depth_2,-x^2*cos(x)
ode_pde,ode_depth_2,-7*x - 1
ode_pde,ode_depth_2,-2*x*exp(x)
ode_pde,ode_depth_2,0.25*x^2
ode_pde,ode_depth_2,-x^2 - 1
ode_pde,ode_depth_2,4*x*cos(x)
ode_pde,ode_depth_2,cos(5/x)
ode_pde,ode_depth_2,(-x - 7)/(x + 8)
ode_pde,ode_depth_2,log(-x/8)
ode_pde,ode_depth_2,log(x - 4)
ode_pde,ode_depth_2,sin(x - 5)
ode_pde,ode_depth_2,3*x - sin(x)
ode_pde,ode_depth_2,-x - 5 + 8/x
ode_pde,ode_depth_2,2*x/(x + 4)
ode_pde,ode_depth_2,8*x*(x + 1)
ode_pde,ode_depth_2,(x - 10)/x^2
ode_pde,ode_depth_2,(8 - x)/x
ode_pde,ode_depth_2,exp(x/5)
ode_pde,ode_depth_2,-70*x^2
ode_pde,ode_depth_2,-x - 9
ode_pde,ode_depth_2,x*(9 - x)
ode_pde,ode_depth_2,exp(x) + 2
ode_pde,ode_depth_2,3*x + 3
ode_pde,ode_depth_2,x + 3/x
ode_pde,ode_depth_2,-1.73 - 8/x
ode_pde,ode_depth_2,exp(-2*x)
ode_pde,ode_depth_2,log(x) + 3
ode_pde,ode_depth_2,-2*x^3
ode_pde,ode_depth_2,9 - sin(x)
ode_pde,ode_depth_2,(9 - x)*sin(x)
ode_pde,ode_depth_2,(x - 7)/(x - 5)
ode_pde,ode_depth_2,-3*x*(x + 3)
ode_pde,ode_depth_2,x/(x - 2)
ode_pde,ode_depth_2,8*x + log(x)
ode_pde,ode_depth_2,-sin(4*x)
ode_pde,ode_depth_2,6*x^2
ode_pde,ode_depth_2,16*x
ode_pde,ode_depth_2,2 + 4/x
ode_pde,ode_depth_2,(x + 5)*cos(x)
ode_pde,ode_depth_2,-1/(x - 1)
ode_pde,ode_depth_2,0.025*x - 0.25
ode_pde,ode_depth_2,x - 10 + 9/x
ode_pde,ode_depth_2,3 - x^2
ode_pde,ode_depth_2,log(x/8)
ode_pde,ode_depth_2,log(x) - 1
ode_pde,ode_depth_2,-x^2 - x - 7
ode_pde,ode_depth_2,-x + 8 - 2/x
ode_pde,ode_depth_2,9*x + 1
ode_pde,ode_depth_2,exp(-x/2)
ode_pde,ode_depth_2,log(4*x)
ode_pde,ode_depth_2,0.8*x
ode_pde,ode_depth_2,log(-x/6)
ode_pde,ode_depth_2,0.408*log(x)
ode_pde,ode_depth_2,30/x
ode_pde,ode_depth_2,sin(sqrt(x))
ode_pde,ode_depth_2,-0.111*x^1.5
ode_pde,ode_depth_2,48 - x^2
ode_pde,ode_depth_2,-2.45/(x - 5)
ode_pde,ode_depth_2,(1 - x)/x
ode_pde,ode_depth_2,5*x + cos(x)
ode_pde,ode_depth_2,-sin(x/7)
ode_pde,ode_depth_2,-0.111*x/cos(x)
ode_pde,ode_depth_2,-x*(x + 9)
ode_pde,ode_depth_2,3/x
ode_pde,ode_depth_2,log(x) - 4
ode_pde,ode_depth_2,(x^1.5 - 10)/x
ode_pde,ode_depth_2,-x - 5.8
ode_pde,ode_depth_2,-sin(x + 3)
ode_pde,ode_depth_2,-2*x*sin(x)
ode_pde,ode_depth_2,-x + sin(x)
ode_pde,ode_depth_2,0.1*x + cos(x)
ode_pde,ode_depth_2,cos(x) + 14
ode_pde,ode_depth_2,cos(x - 1)
ode_pde,ode_depth_2,2 + 6/x
ode_pde,ode_depth_2,x^2 + x - 9
ode_pde,ode_depth_2,-10*x^3
ode_pde,ode_depth_2,-x^2 - x + 1
ode_pde,ode_depth_2,x + sin(x) - 9
ode_pde,ode_depth_2,0.25*x + 2.25
ode_pde,ode_depth_2,2.33*x
ode_pde,ode_depth_2,1/x
ode_pde,ode_depth_2,6 - 6*x
ode_pde,ode_depth_2,0.143*x*(x + 5)
ode_pde,ode_depth_2,x^2/(x + 6)
ode_pde,ode_depth_2,x*(x + 0.333)
ode_pde,ode_depth_2,0.143*cos(x)
ode_pde,ode_depth_2,-1.2*x
ode_pde,ode_depth_2,2*x*(x - 4)
ode_pde,ode_depth_2,-x^2 - x + 3
ode_pde,ode_depth_2,-5*x*cos(x)
ode_pde,ode_depth_2,1.4*x^2
ode_pde,ode_depth_2,-0.667/x
ode_pde,ode_depth_2,(-x - 4)*exp(x)
ode_pde,ode_depth_2,-x*(x + 0.5)
ode_pde,ode_depth_2,(2 - x)*log(x)
ode_pde,ode_depth_2,x^2 + 1
ode_pde,ode_depth_2,-x - 7.83
ode_pde,ode_depth_2,x - exp(x) + 4
ode_pde,ode_depth_2,cos(6/x)
ode_pde,ode_depth_2,2/(x + 3)
ode_pde,ode_depth_2,-x^2*sin(x)
ode_pde,ode_depth_2,x - 2
ode_pde,ode_depth_2,x + sin(x) - 3
ode_pde,ode_depth_2,-6*x/(x + 1)
ode_pde,ode_depth_2,-0.25*x^2
ode_pde,ode_depth_2,x^1.5
ode_pde,ode_depth_2,-7*x
ode_pde,ode_depth_2,sin(9*x)
ode_pde,ode_depth_2,-1.17*x
ode_pde,ode_depth_2,-(x - 10)*(x - 6)
ode_pde,ode_depth_2,exp(x - 7)
ode_pde,ode_depth_3,2*x - 1
ode_pde,ode_depth_3,-x + 0.111*exp(x)
ode_pde,ode_depth_3,-x^2 - exp(x) - 0.667
ode_pde,ode_depth_3,-0.275 - 1/x
ode_pde,ode_depth_3,x/((x + 9)*sin(x + 10))
ode_pde,ode_depth_3,-0.5*sin(x)*sin(x - 6)/x
ode_pde,ode_depth_3,2*x*(x - 9)*(x + 10)/(x + 3)
ode_pde,ode_depth_3,1 - log(-7*x)
ode_pde,ode_depth_3,-2*x + exp(x) - 1
ode_pde,ode_depth_3,exp((x + 6)*log(x))
ode_pde,ode_depth_3,x + log(x + 9)
ode_pde,ode_depth_3,2*x - log(x) + 1
ode_pde,ode_depth_3,x*cos(2*x)/(x*(x + 10) - 5)
ode_pde,ode_depth_3,-x^2 + x - 10/x
ode_pde,ode_depth_3,cos(2*x/cos(x))
ode_pde,ode_depth_3,log(log(x) - 3)
ode_pde,ode_depth_3,log(sqrt(x) - 2*x)
ode_pde,ode_depth_3,(6 - x)*cos(x) + 0.973
ode_pde,ode_depth_3,-x^2 - x + log(x)/sin(x) - 1
ode_pde,ode_depth_3,(8 - x)*exp(exp(x))
ode_pde,ode_depth_3,-x^2*log(x) + 5
ode_pde,ode_depth_3,log(-9*x*(9 - x))
ode_pde,ode_depth_3,-2*x/log(1 - x)
ode_pde,ode_depth_3,0.476 - 3*x
ode_pde,ode_depth_3,-sin(sin(x^2))
ode_pde,ode_depth_3,log(-x/4) - 10
ode_pde,ode_depth_3,-x - 4/x
ode_pde,ode_depth_3,0.053/x
ode_pde,ode_depth_3,sin(x + 7)
ode_pde,ode_depth_3,-2.83*cos(x^2)/x
ode_pde,ode_depth_3,-log(cos(x))
ode_pde,ode_depth_3,4*x + log(x)
ode_pde,ode_depth_3,-10*x^2 + exp(9 - x)
ode_pde,ode_depth_3,x - 0.96
ode_pde,ode_depth_3,-0.125*x^2 - x + log(x) + 5
ode_pde,ode_depth_3,x*(x + 10)
ode_pde,ode_depth_3,5.66*x/(x - 4)
ode_pde,ode_depth_3,-10*x - exp(x^2) + 1
ode_pde,ode_depth_3,log((x - 5)/(2*x))
ode_pde,ode_depth_3,(x + exp(x) + 7)*exp(x)/x^2
ode_pde,ode_depth_3,-sin(x/5 + 2/x)
ode_pde,ode_depth_3,exp(2*sqrt(-1/x))
ode_pde,ode_depth_3,log(10 + 100/x)
ode_pde,ode_depth_3,log(x/2 + exp(x))
ode_pde,ode_depth_3,log(7/x)
ode_pde,ode_depth_3,x^2/(4*x - 1)
ode_pde,ode_depth_3,2*log(8*x)
ode_pde,ode_depth_3,log(log(x) + log(2))
ode_pde,ode_depth_3,7*x + log(x) - exp(-2*x)
ode_pde,ode_depth_3,(x + 5)/(x + 8) + exp(6 - x)
ode_pde,ode_depth_3,0.5*log(x^2)
ode_pde,ode_depth_3,x + (x + 8)*(x + 9)
ode_pde,ode_depth_3,-x^2 - 2*x - cos(x)
ode_pde,ode_depth_3,log(cos(x^2))
ode_pde,ode_depth_3,-(x + 5)*cos(x) + log(log(x))
ode_pde,ode_depth_3,-sin(x^3/6)
ode_pde,ode_depth_3,(-x - 0.5*log(x) + 4)/x
ode_pde,ode_depth_3,0.125*(x + 8)*log(-9/x)
ode_pde,ode_depth_3,0.143*x + sin(log(x))
ode_pde,ode_depth_3,-2*x - 4/x
ode_pde,ode_depth_3,56 - x
ode_pde,ode_depth_3,3.79 - 10*x
ode_pde,ode_depth_3,(2*x*cos(x) + (x + 7)*exp(x))/((x + 7)*cos(x))
ode_pde,ode_depth_3,x^3/cos(x + 9)
ode_pde,ode_depth_3,-0.1*x + log(2*x) + 1.2
ode_pde,ode_depth_3,-x^2*exp(x) + x^2 - x - 8
ode_pde,ode_depth_3,0.143*x - 3
ode_pde,ode_depth_3,log(x^2*(x + 3))
ode_pde,ode_depth_3,10*(x - 5)/(x + 9)
ode_pde,ode_depth_3,cos(log(6 - x))
ode_pde,ode_depth_3,-2*x - exp(x - 6)
ode_pde,ode_depth_3,2.65*x
ode_pde,ode_depth_3,0.5*log(x)*log(10*x)/x
ode_pde,ode_depth_3,cos(exp(3/x))
ode_pde,ode_depth_3,-log(x) + cos(x)
ode_pde,ode_depth_3,exp(x - 1)
ode_pde,ode_depth_3,exp(cos(x - 8))
ode_pde,ode_depth_3,exp(9*x + 36)
ode_pde,ode_depth_3,log(x^2 + log(x))
ode_pde,ode_depth_3,6*exp(-7/x)
ode_pde,ode_depth_3,0.125*(2*x - 1)*(8*x + 39)
ode_pde,ode_depth_3,0.354*x
ode_pde,ode_depth_3,cos(sin(x)/x)
ode_pde,ode_depth_3,0.25*x*exp(-x) + 1
ode_pde,ode_depth_3,log(cos(2*x))
ode_pde,ode_depth_3,log(7 - 2*x)
ode_pde,ode_depth_3,x/cos(exp(x))
ode_pde,ode_depth_3,4*(5 - exp(x))/(x*(x + 6))
ode_pde,ode_depth_3,(-x - 5)*sin(x)
ode_pde,ode_depth_3,-exp(x^2) + log(-2*x)
ode_pde,ode_depth_3,cos(cos(x^2))
ode_pde,ode_depth_3,8 - sin(sqrt(x))
ode_pde,ode_depth_3,-x + exp(x + 2)
ode_pde,ode_depth_3,exp(x*(x + 2))
ode_pde,ode_depth_3,sin(log(6 - x))
ode_pde,ode_depth_3,0.125*x*(x - 7)
ode_pde,ode_depth_3,-12*x*(x + 56)
ode_pde,ode_depth_3,-x + exp(x - 5)
